semSort,id,card,level,businessTerm,desc,defaultValue,dataType,syntaxId,businessTerm_ja,desc_ja,synSort,xPath,occur,,
1000,GL02,--,0,XBRL GL,"Contains all of the journal entry details for each transaction (e.g. associated journal entry ID, associated account number, debits or credits associated with the journal entry line). This table should be at the journal entry line level.",,,,,,1,/xbrli:xbrl,--,,
1010,GL02-01,1..1,1,Journal ID,Unique identifier for each journal entry.Typically auto-generated by the system.,,Identifier,,監査番号,このファイルの一意識別子。,4,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-cor:uniqueID,1..1,,
1090,GL02-GL64,0..1,1,Specified GL Source,,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,26,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader,0..1,,
1100,GL64-01,1..1,2,Source Code,"Code for the source from which the journal entry originated.EXAMPLE   Sales journal, cash receipts journal, general journal, payroll journal, accountant manual entry, spreadsheet.Shall match the Source_Code [SrcCd] in the GL_Source [GlSrc] table.",,Identifier,,元仕訳帳種別,元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。\n出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他\n[設定値のリスト]\n(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他),28,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:sourceJournalID,1..1,,
1110,GL64-02,0..1,2,Source Description,Description of the source system.,,Text,,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,5,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:sourceApplication,0..1,,
1120,GL64-03,0..1,2,ERP Subledger Module,"Description of the subledger or ERP module from which the journal entry originated.This should tie back to a system or significant accounting process. In some instances, it can be represented by the source system.",,Text,,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計士入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,29,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:sourceJournalDescription,0..1,,
1130,GL64-04,0..1,2,System Manual Identifier,"Indicates whether the journal entry is system-generated or manually-entered.EXAMPLE   S is system-generated, M is manually-entered.",,Identifier,,仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,27,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:entryOrigin,0..1,,
1140,GL02-GL57,0..1,2,Specified Created,Information about the data that was created into the system.,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,24,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader,0..1,,
1150,GL57-01,0..1,3,Created User ID,The unique identifier for the person who did the activity. Typically auto-generated by the system. Shall match the User_ID [UserId] in the BAS_User [BasUser] table.,,,,作成者,ファイルの作成者の識別子。,8,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:documentInfo/gl-bus:creator,0..1,,
1160,GL57-02,0..1,3,Created Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,Date,,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,25,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:enteredDate,0..1,,
1240,GL02-GL55,1..n,1,Specified GL Details,,,,,【仕訳明細】,仕訳明細の親タグ。,32,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail,1..n,,
1270,GL55-03,0..1,2,Journal Entry Type Code,Code for the journal entry type.Shall match the JE_Type_Code [JeTypCd] in the BAS_Journal_Entry_Type [BasJrnEntryTyp] table.,,,,科目種別,科目の種別。\n[設定値のリスト]\n(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他) ,36,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountType,0..1,,
1280,GL55-04,0..1,2,Journal Entry Line Description,Description of the individual line within the journal entry.,,Text,,説明,この明細行のみに対する説明。,55,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:detailComment,0..1,,
1290,GL55-05,0..1,2,Credit Debit Indicator,"Indicates whether the amount is a credit or a debit.EXAMPLE   C is credit, D is debit.",,Code,,貸借区分コード,金額が借方か貸方か不定かを示す識別子。\n[設定値のリスト]\n(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定) ,41,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:debitCreditCode,0..1,,
1430,GL55-GL63,0..1,2,Specified Chart Of Accounts,,,,,【科目識別子】,タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。\n/account/accountMainID 1000  /account/accountMainDescription Cash  /account/accountSub/accountSubID 4783HG  /account/accountSub/accountSubDescription Department  /account/accountSub/accountSubID QOWI  /account/accountSub/accountSubDescription Branch  /account/accountSub/accountSubID 192837  /account/accountSub/accountSubDescription Division,33,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account,0..1,,
1440,GL63-01,1..1,3,GL Account Number,Number of the GL account.Shall match the GL_Account_Number [GlAcntNr] used in the AS_Chart_Of_Accounts table.,,Identifier,,主勘定科目コード,主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。\n部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。,34,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountMainID,1..1,,
1450,GL63-02,0..1,3,GL Account Name,Name of the GL account.,,Text,,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。,35,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountMainDescription,0..1,,
1460,GL63-03,0..1,3,Financial Statement Caption,"Financial statement caption that represents a related group of accounts.EXAMPLE   Cash and cash equivalents, AP, cost of sales.The caption can be at the trial balance level.",,Text,,,,54,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:xbrlInfo/gl-cor:xbrlElement,0..1,,
1470,GL55-GL56,0..1,2,Specified Amount,"Related amount expressed in functional, transaction, reporting and local currency.",,,,【仕訳明細】,仕訳明細の親タグ。,42,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail,0..1,,
1480,GL56-01,0..1,3,Functional Amount,Amount recorded in the functional or group currency.,,Monetary Amount,,金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。,43,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:amount,0..1,,
1490,GL56-02,0..1,3,Functional Currency Code,Code of the functional or group currency (in accordance with ISO 4217).Shall match the Currency_Code [CurCd] in the BAS_Currency [BasCur] table.,,,,通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,44,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:amountCurrency,0..1,,
1560,GL55-GL69,0..1,2,Specified Posted,Information about the data that was posted.,,,,【仕訳明細】,仕訳明細の親タグ。,45,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail,0..1,,
1580,GL69-02,0..1,3,Posted Date,"The date of activity. This should be a system generated date (rather than user-created date), when possible. This is sometimes referred to as the creation date.",,Date,,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,46,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:postingDate,0..1,,
1590,GL55-GL60,0..n,2,Specified Account Segment,Contains associated Account Segment information.,,,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,37,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub,0..n,,
1600,GL60-01,0..1,3,Account Segment Number,Sequence number of the associated Account Segment. Must match Account_Segment_Number [AcntSgNr] in GL_Account_Segment [GlAcntSg] in relation to the GL_Account_Number [GlAcntNr] concerned.,,Code,,サブ科目種別,小勘定科目の種別。プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子がここに配置される。 例えば、責任単位、事業単位、クラス、部、プロジェクト、基金、プログラム、ジョブ、プロフィットセンター、支店、セットアップクラス、部門、ユニット\n,40,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub/gl-cor:accountSubType,0..1,,
1610,GL60-02,0..1,3,Account Segment Code,Account Segment Code.,,Text,,サブ科目コード,主勘定科目をaccountMainIDに指定したときに、各プロフィットセンタ、事業部、事業体、基金、プログラム、支店、プロジェクト、クラス、su-クラス又は他の修飾子に使用されるコードはここに指定する。,39,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub/gl-cor:accountSubID,0..1,,
1620,GL60-03,0..1,3,Account Segment Name,,,Text,,サブ科目説明,accountSubIDに関する説明。,38,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:account/gl-cor:accountSub/gl-cor:accountSubDescription,0..1,,
1630,GL55-GL61,0..n,2,Specified Business Segment,Contains associated Business Segment information.,,,,,,47,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference,0..n,,
1640,GL61-01,0..1,3,Business Segment Sequence Number,Number or text to keep the Business Segments in a predefined order.,,Code,,,,50,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference/gl-cor:identifierType,0..1,,
1650,GL61-02,0..1,3,Business Segment Code,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,,,,,,48,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference/gl-cor:identifierCode,0..1,,
1660,GL61-03,0..1,3,Organization Type Name,"Indicates the name of the organization type (e.g. department, cost centre).",,Text,,,,49,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference/gl-cor:identifierDescription,0..1,,
